1,58,4.4469E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 27,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 28,ADC : 236,Val_Res (Ohm)1.0846E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 29,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 30,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 30,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 30,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 30,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 30,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 30,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 30,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 30,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 30,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 30,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 31,ADC : 217,Val_Res (Ohm)1.1805E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 32,ADC : 86,Val_Res (Ohm)2.9955E7
clock (5ms) : 33,ADC : 211,Val_Res (Ohm)1.2144E7
clock (5ms) : 33,ADC : 211,Val_Res (Ohm)1.2144E7
clock (5ms) : 33,ADC : 211,Val_Res (Ohm)1.2144E7
clock (5ms) : 33,ADC : 211,Val_Res (Ohm)1.2144E7
clock (5ms) : 33,ADC : 211,Val_Res (Ohm)1.2144E7
clock (5ms) : 33,ADC : 211,Val_Res (Ohm)1.2144E7
clock (5ms) : 33,ADC : 211,Val_Res (Ohm)1.2144E7
clock (5ms) : 33,ADC : 211,Val_Res (Ohm)1.2144E7
clock (5ms) : 33,ADC : 211,Val_Res (Ohm)1.2144E7
clock (5ms) : 33,ADC : 211,Val_Res (Ohm)1.2144E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 34,ADC : 240,Val_Res (Ohm)1.0663E7
clock (5ms) : 35,ADC : 244,Val_Res (Ohm)1.0487E7
clock (5ms) : 35,ADC : 244,Val_Res (Ohm)1.0487E7
clock (5ms) : 35,ADC : 244,Val_Res (Ohm)1.0487E7
clock (5ms) : 35,ADC : 244,Val_Res (Ohm)1.0487E7
clock (5ms) : 35,ADC : 244,Val_Res (Ohm)1.0487E7
clock (5ms) : 35,ADC : 244,Val_Res (Ohm)1.0487E7
clock (5ms) : 35,ADC : 244,Val_Res (Ohm)1.0487E7
clock (5ms) : 35,ADC : 244,Val_Res (Ohm)1.0487E7
clock (5ms) : 35,ADC : 244,Val_Res (Ohm)1.0487E7
clock (5ms) : 35,ADC : 244,Val_Res (Ohm)1.0487E7
clock (5ms) : 35,ADC : 244,Val_Res (Ohm)1.0487E7
clock (5ms) : 35,ADC : 244,Val_Res (Ohm)1.0487E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 36,ADC : 253,Val_Res (Ohm)1.011E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 37,ADC : 239,Val_Res (Ohm)1.0708E7
clock (5ms) : 38,ADC : 231,Val_Res (Ohm)1.1083E7
clock (5ms) : 38,ADC : 231,Val_Res (Ohm)1.1083E7
clock (5ms) : 38,ADC : 231,Val_Res (Ohm)1.1083E7
clock (5ms) : 38,ADC : 231,Val_Res (Ohm)1.1083E7
clock (5ms) : 38,ADC : 231,Val_Res (Ohm)1.1083E7
clock (5ms) : 38,ADC : 231,Val_Res (Ohm)1.1083E7
clock (5ms) : 38,ADC : 231,Val_Res (Ohm)1.1083E7
clock (5ms) : 38,ADC : 231,Val_Res (Ohm)1.1083E7
clock (5ms) : 38,ADC : 231,Val_Res (Ohm)1.1083E7
clock (5ms) : 38,ADC : 231,Val_Res (Ohm)1.1083E7
clock (5ms) : 38,ADC : 231,Val_Res (Ohm)1.1083E7
clock (5ms) : 38,ADC : 231,Val_Res (Ohm)1.1083E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 39,ADC : 225,Val_Res (Ohm)1.1382E7
clock (5ms) : 40,ADC : 54,Val_Res (Ohm)4.7771E7
clock (5ms) : 40,ADC : 54,Val_Res (Ohm)4.7771E7
clock (5ms) : 40,ADC : 54,Val_Res (Ohm)4.7771E7
clock (5ms) : 40,ADC : 54,Val_Res (Ohm)4.7771E7
clock (5ms) : 40,ADC : 54,Val_Res (Ohm)4.7771E7
clock (5ms) : 40,ADC : 54,Val_Res (Ohm)4.7771E7
clock (5ms) : 40,ADC : 54,Val_Res (Ohm)4.7771E7
clock (5ms) : 40,ADC : 54,Val_Res (Ohm)4.7771E7
clock (5ms) : 40,ADC : 54,Val_Res (Ohm)4.7771E7
clock (5ms) : 40,ADC : 54,Val_Res (Ohm)4.7771E7
clock (5ms) : 40,ADC : 54,Val_Res (Ohm)4.7771E7
clock (5ms) : 40,ADC : 54,Val_Res (Ohm)4.7771E7
clock (5ms) : 41,ADC : 28,Val_Res (Ohm)9.2233E7
clock (5ms) : 41,ADC : 28,Val_Res (Ohm)9.2233E7
clock (5ms) : 41,ADC : 28,Val_Res (Ohm)9.2233E7
clock (5ms) : 41,ADC : 28,Val_Res (Ohm)9.2233E7
clock (5ms) : 41,ADC : 28,Val_Res (Ohm)9.2233E7
clock (5ms) : 41,ADC : 28,Val_Res (Ohm)9.2233E7
clock (5ms) : 41,ADC : 28,Val_Res (Ohm)9.2233E7
clock (5ms) : 41,ADC : 28,Val_Res (Ohm)9.2233E7
clock (5ms) : 41,ADC : 28,Val_Res (Ohm)9.2233E7
clock (5ms) : 41,ADC : 28,Val_Res (Ohm)9.2233E7
clock (5ms) : 41,ADC : 28,Val_Res (Ohm)9.2233E7
clock (5ms) : 41,ADC : 28,Val_Res (Ohm)9.2233E7
clock (5ms) : 41,ADC : 28,Val_Res (Ohm)9.2233E7
clock (5ms) : 42,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 42,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 42,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 42,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 42,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 42,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 42,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 42,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 42,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 42,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 42,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 42,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 43,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 44,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 44,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 44,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 44,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 44,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 44,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 44,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 44,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 44,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 44,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 44,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 45,ADC : 22,Val_Res (Ohm)1.1742E8
clock (5ms) : 46,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 46,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 46,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 46,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 46,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 46,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 46,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 46,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 46,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 46,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 46,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 46,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 47,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 48,ADC : 24,Val_Res (Ohm)1.0762E8
clock (5ms) : 49,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 49,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 49,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 49,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 49,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 49,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 49,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 49,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 49,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 49,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 49,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 49,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 49,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 50,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 51,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 51,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 51,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 51,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 51,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 51,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 51,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 51,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 51,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 51,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 51,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 51,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 1,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 1,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 1,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 1,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 1,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 2,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 2,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 2,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 2,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 2,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 2,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 2,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 2,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 2,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 2,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 2,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 2,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 2,ADC : 25,Val_Res (Ohm)103314000
clock (5ms) : 3,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 3,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 3,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 3,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 3,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 3,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 3,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 3,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 3,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 3,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 3,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 3,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 3,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 4,ADC : 23,Val_Res (Ohm)1.1231E8
clock (5ms) : 4,ADC : 23,Val_Res (Ohm)1.1231E8
